type_of_reference,authors,primary_title,title,publication_year,year,abstract
JOUR,"Kanbar, Lara J., Mishra, Anagh, Osborn, Alexander, Cifuentes, Andrew, Combs, Jennifer, Sorter, Michael, Barzman, Drew, Dexheimer, Judith W.",Investigation of bias in the automated assessment of school violence,,,2024,"Objectives Natural language processing and machine learning have the potential to lead to biased predictions. We designed a novel Automated RIsk Assessment (ARIA) machine learning algorithm that assesses risk of violence and aggression in adolescents using natural language processing of transcribed student interviews. This work evaluated the possible sources of bias in the study design and the algorithm, tested how much of a prediction was explained by demographic covariates, and investigated the misclassifications based on demographic variables. Methods We recruited students 10–18 years of age and enrolled in middle or high schools in Ohio, Kentucky, Indiana, and Tennessee. The reference standard outcome was determined by a forensic psychiatrist as either a “high” or “low” risk level. ARIA used L2-regularized logistic regression to predict a risk level for each student using contextual and semantic features. We conducted three analyses: a PROBAST analysis of risk in study design; analysis of demographic variables as covariates; and a prediction analysis. Covariates were included in the linear regression analyses and comprised of race, sex, ethnicity, household education, annual household income, age at the time of visit, and utilization of public assistance. Results We recruited 412 students from 204 schools. ARIA performed with an AUC of 0.92, sensitivity of 71%, NPV of 77%, and specificity of 95%. Of these, 387 students with complete demographic information were included in the analysis. Individual linear regressions resulted in a coefficient of determination less than 0.08 across all demographic variables. When using all demographic variables to predict ARIA’s risk assessment score, the multiple linear regression model resulted in a coefficient of determination of 0.189. ARIA performed with a lower False Negative Rate (FNR) of 15.2% (CI [0 – 40]) for the Black subgroup and 12.7%, CI [0 – 41.4] for Other races, compared to an FNR of 26.1% (CI [14.1 – 41.8]) in the White subgroup. Conclusions Bias assessment is needed to address shortcomings within machine learning. In our work, student race, ethnicity, sex, use of public assistance, and annual household income did not explain ARIA’s risk assessment score of students. ARIA will continue to be evaluated regularly with increased subject recruitment."
JOUR,"Kazerouni, Ayaan M., Davis, James C., Basak, Arinjoy, Shaffer, Clifford A., Servant, Francisco, Edwards, Stephen H.",Fast and accurate incremental feedback for students’ software tests using selective mutation analysis,,,2021,"As incorporating software testing into programming assignments becomes routine, educators have begun to assess not only the correctness of students’ software, but also the adequacy of their tests. In practice, educators rely on code coverage measures, though its shortcomings are widely known. Mutation analysis is a stronger measure of test adequacy, but it is too costly to be applied beyond the small programs developed in introductory programming courses. We demonstrate how to adapt mutation analysis to provide rapid automated feedback on software tests for complex projects in large programming courses. We study a dataset of 1389 student software projects ranging from trivial to complex. We begin by showing that although the state-of-the-art in mutation analysis is practical for providing rapid feedback on projects in introductory courses, it is prohibitively expensive for the more complex projects in subsequent courses. To reduce this cost, we use a statistical procedure to select a subset of mutation operators that maintains accuracy while minimizing cost. We show that with only 2 operators, costs can be reduced by a factor of 2–3 with negligible loss in accuracy. Finally, we evaluate our approach on open-source software and report that our findings may generalize beyond our educational context."
JOUR,"Biao, Zhang Zong",Design and realization of data mining simulation and methodological models,,,2023,"Data mining in education is steadily gaining momentum to explore the learning analytics because of its easy to use with any programming knowledge. This emerging method primarily focus on developing methods for handling and exploring voluminous information represented in distinct types of data. Deployment of data mining in education helps to better understand the synergy between the learning and educational settings established by the institutions to foster their learning activity. This work presents a data mining based virtual simulation experimental teaching system which provisions personalized interactive learning, real-world scene experimental training and comprehensive assessment of the learning effect. The proposed system employs interactive programming, automatic evaluation of experimental results, assessing the impact of teaching effectiveness with other modules. The work also provides a series of comprehensive cases and programming experiments apart from presenting the execution pages. The results indicate that this system can intuitively help students to improve their learning process, student participation and foster independent learning ability. The application of data mining alleviates the dependency on complex programming paradigms to make learning analytics, which is beneficial to both the teaching and learning communities."
JOUR,"Santos Vieira, Felipe Alexandre, Vinhas Santos, Davi Teles, Bragagnolo, Chiara, Campos-Silva, João Vitor, Henriques Correia, Ricardo Aleixo, Jepson, Paul, Mendes Malhado, Ana Claudia, Ladle, Richard James",Social media data reveals multiple cultural services along the 8.500 kilometers of Brazilian coastline,,,2021,"Cultural ecosystem services (CES) are benefits that people receive from ecosystems, for example, through spiritual enrichment, cognitive development, recreation, and aesthetic experiences. These are important contributors to human well-being, but are challenging to measure due to their intangible nature and because they may vary spatially depending on ecosystem condition and restrictions on use. Here, we employ a big data methodology to identify CES over a large scale case study with the purpose of providing insights for marine and coastal management. First, we used machine learning to identify features present in 21,789 Flickr photographs taken across approximately 8,500 km of the Brazilian coastline. Then, we associated the keywords describing the identified features with broad CES categories allowing us to identify and map the geographical distribution of cultural services. We found that CES related to aesthetic experiences were more represented in photographs taken in protected areas, while other forms of cultural value (e.g. sport recreation, social recreation) were more frequent in unprotected areas. Notwithstanding the unavoidable biases in favour of certain CES representations, our results illustrate diverse forms of cultural services generated by the Brazilian coast. While there was a generally higher provision of CES per user in protected areas reflecting their enhanced potential to support tourism and other CES-related activities, the image classification algorithm was not able to identify CES which are less dependent on the biophysical domain such as spiritual values, inspiration, education and arts. We believe that our approach can be applied at broader scales (continental and global) in order to uncover cultural services in multiple environments while strongly recommending integration with social science based methodologies and expertise. We further advocate for the employment of such automatic evaluation at local scale as a tool to complement other approaches in support of protected area management, including resource allocation and investments to potentialize CES (i.e. recreational infrastructure, wildlife observation posts) or other relevant ecosystem services."
JOUR,"Ling, Jintao, Afzaal, Muhammad",Automatic question-answer pairs generation using pre-trained large language models in higher education,,,2024,"The process of manually generating question and answer (QA) pairs for assessments is known to be a time-consuming and energy-intensive task for teachers, specifically in higher education. Several studies have proposed various methods utilising pre-trained large language models for the generation of QA pairs. However, it is worth noting that these methods have primarily been evaluated on datasets that are not specifically educational in nature. Furthermore, the evaluation metrics and strategies employed in these studies differ significantly from those typically used in educational contexts. The present discourse fails to present a compelling case regarding the efficacy and practicality of stated methods within the context of higher education. This study aimed to examine multiple QA pairs generation approaches in relation to their performance and the efficacy and constraints within the context of higher education. The various approaches encompassed in this study comprise pipeline, joint, multi-task approach. The performance of these approaches under consideration was assessed on three datasets related to distinct courses. The evaluation integrates three automated methods, teacher assessments, and real-world educational evaluations to provide a comprehensive analysis. The comparison of various approaches was conducted by directly assessing their performance using the average scores of different automatic metrics on three datasets. The results of the teachers and real educational evaluation indicate that the assessments generated were beneficial in enhancing the understanding of concepts and overall performance of students. The implications of the findings from this study hold significant importance in enhancing the efficacy of QA pair generation tools within the context of higher education."
JOUR,"Pino Castillo, Patricio A., Soto, Christian, Asún, Rodrigo A., Gutiérrez, Fernando",Profiling support in literacy development: Use of natural language processing to identify learning needs in higher education,,,2023,"Reading and writing are core activities in higher education, by means of which students learn to participate in specialized discourses. Although there is consensus on the conceptualization of reading comprehension, its measurement, and development, the same is not true for written expression. Writing complexity has been found to improve with schooling, but there are ample differences between literacy practices at school and at the university that require extra attention in diagnosing students’ compositions. The present study set out to test a natural language processing tool to build domain profiles of writing complexity in first-year university students at a private university. The processing of texts resulted in 49 indices which, after exploratory factor analysis and theoretical discussion, gave rise to 4 dimensions of complexity explaining 52.3% of variance: lexical richness, syntactic complexity, informative text structure and specialized language use. Significant differences were found between more and less skilled writers in the aggregated scores, lexical richness, and syntactic complexity. Interestingly, novice and expert writers did not differ significantly in more over-arching aspects of writing. We discuss how this technology can help identify students’ needs in more superficial aspects of writing complexity that have been shown to improve by means of different strategies."
JOUR,"Wang, Lu, Mao, Yuqiang, Wang, Lin, Sun, Yujie, Song, Jiangdian, Zhang, Yang",Suitability of GPT-4o as an evaluator of cardiopulmonary resuscitation skills examinations,,,2024,"Aim To assess the accuracy and reliability of GPT-4o for scoring examinees’ performance on cardiopulmonary resuscitation (CPR) skills tests. Methods This study included six experts certified to supervise the national medical licensing examination (three junior and three senior) who reviewed the CPR skills test videos across 103 examinees. All videos reviewed by the experts were subjected to automated assessment by GPT-4o. Both the experts and GPT-4o scored the videos across four sections: patient assessment, chest compressions, rescue breathing, and repeated operations. The experts subsequently rated GPT-4o’s reliability on a 5-point Likert scale (1, completely unreliable; 5, completely reliable). GPT-4o’s accuracy was evaluated using the intraclass correlation coefficient (for the first three sections) and Fleiss’ Kappa (for the last section) to assess the agreement between its scores vs. those of the experts. Results The mean accuracy scores for the patient assessment, chest compressions, rescue breathing, and repeated operation sections were 0.65, 0.58, 0.60, and 0.31, respectively, when comparing the GPT-4o’s vs. junior experts’ scores and 0.75, 0.65, 0.72, and 0.41, respectively, when comparing the GPT-4o’s vs. senior experts’ scores. For reliability, the median Likert scale scores were 4.00 (interquartile range [IQR] = 3.66–4.33, mean [standard deviation] = 3.95 [0.55]) and 4.33 (4.00–4.67, 4.29 [0.50]) for the junior and senior experts, respectively. Conclusions GPT-4o demonstrated a level of accuracy that was similar to that of senior experts in examining CPR skills examination videos. The results demonstrate the potential for deploying this large language model in medical examination settings."
JOUR,"Novotny, Michal, Cmejla, Roman, Tykalova, Tereza",Automated prediction of children's age from voice acoustics,,,2023,"The emergence of a variety of applications aimed at video gaming, parental control, education, specific language impairment, child development assessment, and speech therapy create demands for age-targeted approaches. Yet, there is a lack of methods providing robust and easily interpretable age estimation of speakers from early childhood to post-pubertal stage. This study aims to provide a fully-automated approach for children's age prediction based on voice acoustics. Sustained phonation of vowels /a/, /e/, /i/, /o/, and /u/ recorded from 255 speakers (132 girls and 123 boys) ranging between 4 and 15 years of age were analysed. The first three formant frequencies and fundamental frequency across each vowel were automatically evaluated and used as features for linear and nonlinear regressors to estimate the prediction model. We demonstrate rapid, accurate age estimation with reasonable accuracy of an average 1.3-year difference from actual children's chronological age. The lower age prediction error of 1.2 years was achieved for boys compared to 1.5 years for girls. The early childhood age from 4 to 5 years was less accurate for prediction. No effect of utterance duration on estimated results was observed. Our results present a robust technology with clinically interpretable outcomes insusceptible to overfitting that enables to predict children's age in a wide range of ages. Better prediction accuracy for boys than girls appears to reflect the faster vocal tract growth for men. The lower prediction accuracy in early childhood can be attributed to rapid nonlinear development and greater variability in the level of motor control maturation."
JOUR,"Polito, Giuseppina, Temperini, Marco",A gamified web based system for computer programming learning,,,2021,"The availability of Automated Assessment tools for computer programming tasks can be a significant asset in Computer Science education. Systems providing such kind of service are built around an interface, allowing to administer the tasks (exercises to train programming skills), and show the results, accompanied by meaningful feedback. To produce such results, they apply techniques ranging from static analysis of program correctness, to testing-based evaluation. These systems can also support Competitive Programming, which is known to have educational meaning too. We developed the 2TSW system, supporting the automated correction of computer programming tasks, in a gamified web-based environment. The system let the student access a list of assignments (programming tasks), submit solutions to them, and have such solutions tested and graded. Accomplished tasks let the student gain experience points, represented also by medals, recognition of mastery on a topic, and improvements on a personal characterization of the student's status. The personal profile allows the student to monitor her/his proceedings and achievements. The gamified structure of the system, together with the availability of real-time automated assessment, offers the opportunity for an increasing level of students' personal engagement and motivation. Here we describe the system, and report on an experimentation, where students of a Bachelor Programme in Computer Engineering, first year, used 2TSW. In particular, we 1) present findings about the students' feedback, coming from a questionnaire administered after the experience, and 2) provide the reader with an analysis of the participation data, based on simple statistic tests. The students' feedback let us conclude that they appreciated the 2TSW gamified experience, perceived the system as useful, and maintained a high level of engagement. The data analysis allowed for less decisive conclusions, although it showed proof of the effectiveness of the system as a learning aid."
JOUR,"Chaudhuri, Nandita Bhanja, Dhar, Debayan, Yammiyavar, Pradeep G.",Automating assessment of design exams: A case study of novelty evaluation,,,2022,"An inherent criterion of evaluation in Design education is novelty. Novelty is a measure of newness in solutions which is evaluated based on relative comparison with its frame of reference. Evaluating novelty is subjective and generally depends on expert’s referential metrics based on their knowledge and persuasion. Pedagogues compare and contrast solution for cohort of students in mass examination aspiring admission to Design schools. Large number of students participate in mass examinations, and in situations like this, examiners are confronted with multiple challenges in subjective evaluation such as- 1) Errors encountered in evaluation due to stipulated timeline, 2) Errors encountered due to prolonged working hours, 3) Errors encountered due to stress in performing repeated task on a large-scale. Pedagogues remain ever-inquisitive and vigilant about the evaluation process being consistent and accurate due to monotony of repeated task. To mitigate these challenges, a computational model is proposed for automating evaluation of novelty in image-based solutions. This model is developed by mixed-method research, where features for evaluating novelty are investigated by conducting a survey study. Further, these features were utilized to evaluate novelty and generate score for image-based solutions using Computer Vision (CV) and Deep Learning (DL) techniques. The performance metric of the model when measured reveals a negligible difference between scores of experts and scores of proposed model. These comparative analysis of the proposed model with human experts’ confirm the competence of the devised model and would go a long way to establish trust of pedagogues by ensuring reduced error and stress during the evaluation process."
